Index,time taken,MCES distance,status
131,21,0.010728836,4
132,25,0.012242079,4
133,28,0.016361237,4
134,13,0.022563696,4
135,20,0.020115137,4
136,1,0.842274904,1
137,10,0.256810427,2
138,12,0.041791439,4
139,10,1.080071688,1
140,20,0.019245625,4
141,38,0.019900084,4
142,25,0.019172907,4
143,10,0.209899187,2
144,25,0.029690266,4
145,10,0.163584709,1
146,2,0.840962172,1
147,23,0.005610943,4
148,44,0.012302637,4
149,4,0.618192196,1
150,6,0.251335382,1
151,3,0.168223858,1
152,10,1.087379694,1
153,18,0.053315878,4
154,14,0.02926898,4
155,12,0.029150486,4
156,24,0.020438194,4
157,10,0.098470926,2
158,10,0.657932281,2
159,26,0.046410561,4
160,25,0.019974232,4
161,11.5,0.04208827,4
162,1,0.883252859,1
163,24,0.026610374,4
164,28.5,0.019785643,4
165,10,0.115069628,1
166,45.5,0.046935081,4
167,27,0.018340111,4
168,22,0.011710167,4
169,7,0.138961315,1
170,4,0.122100592,1
171,25,0.047121525,4
172,26,0.050092936,4
173,14,0.008027554,4
174,31,0.021152496,4
175,13.5,0.011644602,4
176,27,0.008938313,4
177,29,0.016311646,4
178,16,0.024489641,4
179,15.5,0.011163235,4
180,28,0.019201756,4
181,9,0.477113247,1
182,42,0.095683813,4
183,19,0.026027441,4
184,24,0.011302471,4
185,11,0.040740252,4
186,22,0.019216537,4
187,13,0.013824463,4
188,27,0.019597292,4
189,1,0.890375137,1
190,2,1.589122534,1
191,9,0.095108986,1
192,8,0.151562929,1
193,30,0.023385286,4
194,31,0.015316725,4
195,8,1.811102152,1
196,12,0.007036209,4
197,10,0.623492479,2
198,22,0.008220673,4
199,31,0.019569397,4
200,16,0.013771057,4
201,5,0.085595131,1
202,28,0.018066645,4
203,20,0.022876978,4
204,23,0.017385006,4
205,46,0.009523153,4
206,17,0.008397341,4
207,20,0.023797274,4
208,41,0.016904354,4
209,23,0.011844635,4
210,26,0.020902395,4
211,10,0.901508331,1
212,29,0.048521519,4
213,31,0.019277811,4
214,20,0.008046627,4
215,60,0.02244544,4
216,43,0.039190769,4
217,13,0.008110523,4
218,28,0.015013456,4
219,27,0.06879735,4
220,18,0.007592916,4
221,10,0.094552517,2
222,32,0.077535629,4
223,36,0.022565126,4
224,24,0.02622366,4
225,10,0.032489061,2
226,14,0.007128,4
227,42,0.051219225,4
228,32,0.009769201,4
229,10,0.023450375,2
230,27,0.027237892,4
231,9,0.205536604,1
232,121,0.070013285,4
233,44.5,0.051707983,4
234,62,0.019959211,4
235,46,0.029664516,4
236,30,0.020186186,4
237,9,0.218825579,1
238,9,0.093255758,1
239,6,0.114242554,1
240,10,0.728162766,2
241,30,0.020435333,4
242,34,0.04623127,4
243,20,0.009092569,4
244,27,0.022161722,4
245,13,0.008282185,4
246,10,0.21560359,2
247,62,0.022881269,4
248,67,0.031953096,4
249,23,0.022388935,4
250,33,0.016227245,4
251,21,0.021501303,4
252,49,0.027926207,4
253,51,0.025239229,4
254,39,0.03708148,4
255,10,0.055760384,1
256,27,0.021692514,4
257,4,0.089807987,1
258,39,0.042694569,4
259,13,0.008847952,4
260,16,0.009941101,4
261,28,0.041157246,4
262,18,0.007774353,4
263,8,0.254402876,1
264,57.5,0.076060772,4
265,24,0.040868998,4
266,10,0.11891818,2
267,6,0.082826853,1
268,47,0.011094093,4
269,5,0.128146172,1
270,64,0.06956625,4
