0,1,2,mass1,mass2,mass_diff
1068,CCCCC\C=C/C[C@H]1O[C@H]1C\C=C/C\C=C/CCCC(O)=O,CCCCC\C=C/C\C=C/C=C/[C@@H](O)C\C=C/CCCC(O)=O,320.47300000000007,320.4730000000001,5.684341886080802e-14
1069,CCCC[C@@H](O)\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,CCCCC\C=C/C=C\[C@H](O)C\C=C/C\C=C\CCCC(O)=O,320.47300000000007,320.47300000000007,0.0
1070,CCCCC[C@H](O)\C=C\C(O)C(O)C\C=C/C\C=C/CCCC(O)=O,CCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,354.48700000000014,354.4870000000002,5.684341886080802e-14
1072,CCCCC\C=C/C[C@@H]1O[C@@H]1C(O)\C=C/C\C=C/CCCC(O)=O,CCCCC\C=C/C[C@@H](OO)\C=C\C=C/C\C=C/CCCC(O)=O,336.47200000000015,336.47200000000015,0.0
1074,CCCCC\C=C/C=C/[C@@H](C\C=C/C\C=C/CCCC(O)=O)OO,CCCCC\C=C/C\C=C/C=C/[C@H](C\C=C/CCCC(O)=O)OO,336.47200000000004,336.4720000000001,5.684341886080802e-14
1075,CCCCC\C=C/CC1OC1CCCCCCCC(O)=O,CCCCCC1OC1C\C=C/CCCCCCCC(O)=O,296.4509999999999,296.45099999999996,5.684341886080802e-14
1076,CCCCC\C=C/C[C@@H](O)[C@H](O)CCCCCCCC(O)=O,CCCCC[C@H](O)[C@@H](O)C\C=C/CCCCCCCC(O)=O,314.466,314.466,0.0
1176,CCCCCC\C=C\C=C\CCCCCCCC(O)=O,CCCCC\C=C/C=C/CCCCCCCCC(O)=O,280.4519999999999,280.4519999999999,0.0
1185,CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C\[C@@H](O)CCCC(O)=O,CCCCC\C=C/C[C@H](O)\C=C\C=C\C=C\[C@@H](O)CCCC(O)=O,336.4720000000002,336.4720000000002,0.0
1267,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=C(O)C(O)=C1,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,286.239,286.23900000000003,5.684341886080802e-14
1313,C\C(=C/CO)\C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,C\C(=C/CO)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C,286.459,286.459,0.0
1337,CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C,CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C,421.6220000000002,421.6220000000002,0.0
1339,CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,358.5660000000002,358.5660000000002,0.0
1390,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](NC(C)=O)[C@H](O[C@H]3[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@@H]3O)O[C@H](CO)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@H]3[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@@H]3O)[C@H](NC(C)=O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,853.7740000000007,853.7740000000006,1.1368683772161603e-13
