pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal,exact_distance
33751,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,793.312,793.312,0,38.77451301,36.71068096,6,1,0,1,1,10,"(0, 5.999999999999991, 36.71068096160889, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0,0,0,0,0,6
38430,[H][C@@](COC(=O)CCCCCCC[C@@H](O)[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC,765.963,765.258,0.705,1.256238222,0.003026009,17,2,0,0,0,10,"(0, 17.0, 0.0030260086059570312, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17,,,,0,24
38725,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,779.285,779.285,4.55E-13,6.900639057,5.747609138,2,1,0,1,1,10,"(0, 2.000000000000109, 5.7476091384887695, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0,0,0,0,0,2
40255,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC(C)C,709.15,709.194,0.044,9.736442327,8.537350178,9,1,0,1,1,10,"(0, 8.99999999999999, 8.537350177764893, 1, 1, 10, 5.0, 0, 5.0, 6.0, 0)",,exact,1,0,5,0,5,6,0,9
42470,CCCCC[C@@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@H]1C\C=C/CC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,789.041,789.173,0.132,1.652999163,0.400725126,11.75,2,0,0,0,10,"(0, 11.75, 0.4007251262664795, 2, 0, 10, 9.0, 0, 11.75, 9.0, 0.0)",,lower_bound,0,1,9,0,11,9,0,11
43219,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCC[C@@H](O)\C=C\C=C/C\C=C/C\C=C/CCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,765.07,765.258,0.188,1.180844545,0.001996517,18,2,0,0,0,10,"(0, 18.0, 0.0019965171813964844, 2, 0, 10, 18.0, None, None, None, 0.0)",,lower_bound,0,1,18,,,,0,34
44757,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,765.258,765.258,1.14E-13,59.845824,58.45684934,6,1,0,1,1,10,"(0, 5.999999999999979, 58.456849336624146, 1, 1, 10, 1.0, 0, 2.0, 1.0, 0)",,exact,1,0,1,0,2,1,0,8
45488,CC1(C)CCC2(CCC3(C)C(C2C1)C(=O)C=C1C2(C)C=C(C#N)C(=O)C(C)(C)C2CCC31C)C(=O)N1C=CN=C1,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCC(C)C,541.736,540.87,0.866,1.187364101,0.00199461,20.5,2,0,0,0,10,"(0, 20.5, 0.001994609832763672, 2, 0, 10, 20.5, None, None, None, 0.0)",,lower_bound,0,1,20.5,,,,0,33.5
46707,CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C1OC2(OC3(CCC(C)(O3)C3CCC(O)(CC)C(C)O3)C(O)C=C2)C(C)CC1C)C(O)=O,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,751.011,751.231,0.22,1.103381872,0.003023386,19,2,0,0,0,10,"(0, 19.0, 0.003023386001586914, 2, 0, 10, 19.0, None, None, None, 0.0)",,lower_bound,0,1,19,,,,0,75
47035,[H][C@](COC(=O)CCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC,765.258,765.258,2.27E-13,59.52752304,58.38584685,6,1,0,1,1,10,"(0, 6.0, 58.385846853256226, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0,0,0,0,0,30
