pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,0.6931512355804443,0.21754837036132812,14.0,4,0,0,,"(0, 14.0, 0.21754837036132812, 4)",
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,0.6600334644317627,0.20599913597106934,8.0,1,0,0,,"(0, 8.0, 0.20599913597106934, 1)",
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,0.6440510749816895,0.19701814651489258,20.0,4,0,0,,"(0, 20.0, 0.19701814651489258, 4)",
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,0.6560389995574951,0.20099973678588867,19.0,4,0,0,,"(0, 19.0, 0.20099973678588867, 4)",
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,0.6580171585083008,0.201507568359375,18.0,4,0,0,,"(0, 18.0, 0.201507568359375, 4)",
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,0.637521505355835,0.19201421737670898,15.0,4,0,0,,"(0, 15.0, 0.19201421737670898, 4)",
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,0.6512272357940674,0.1955089569091797,11.0,4,0,0,,"(0, 11.0, 0.1955089569091797, 4)",
