pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message
1879,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC,723.177,723.1769999999998,2.2737367544323206e-13,8.014890909194946,7.554891109466553,4.0,1,0,0,,"(0, 4.0, 7.554891109466553, 1)",
3585,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C,793.3119999999993,793.3119999999994,1.1368683772161603e-13,2.7699286937713623,2.313926935195923,3.9999999999988765,1,0,0,,"(0, 3.9999999999988765, 2.313926935195923, 1)",
3623,CC[C@H](O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCC(C)C,CC1OC(CC(C1OS(C)(=O)=O)N1CC1)OC1CC(O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=CC=CC=C1C3=O)C(C)=O,602.8970000000003,601.6300000000002,1.2670000000000528,0.6739993095397949,0.24399995803833008,35.0,4,0,0,,"(0, 35.0, 0.24399995803833008, 4)",
7864,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@@H](O)CO)OC(=O)CCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,764.9309999999998,765.2579999999998,0.3269999999999982,0.7312018871307373,0.2650003433227539,24.0,4,0,0,,"(0, 24.0, 0.2650003433227539, 4)",
8016,CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@H](COC(=O)CCC\C=C/C[C@H]1C=CC(=O)[C@@H]1\C=C\[C@@H](O)CCCCC)COP(O)(=O)OCCN,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,792.004,793.3119999999997,1.3079999999996517,0.7316117286682129,0.266998291015625,22.0,4,0,0,,"(0, 22.0, 0.266998291015625, 4)",
18782,[H][C@](CO)(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,[H][C@](CO)(COC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,638.9740000000002,638.9740000000004,2.2737367544323206e-13,1.6437833309173584,1.1751859188079834,4.0000000000001625,1,0,0,,"(0, 4.0000000000001625, 1.1751859188079834, 1)",
28208,CCCCC[C@H](O)\C=C\C=C/C\C=C/C=C/[C@H](O)CCCC(=O)OC[C@H](O)COC(=O)CCCCCCCCCCCCCCC(C)C,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,677.0199999999999,677.1080000000002,0.0880000000003065,2.0881407260894775,1.6465961933135986,10,2,0,0,,"(0, 10, 1.6465961933135986, 2)",
31479,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCC,779.2849999999999,779.2849999999996,2.2737367544323206e-13,8.54989767074585,8.059302806854248,6.0,1,0,0,,"(0, 6.0, 8.059302806854248, 1)",
31508,[H][C@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC(C)C,624.9879999999999,625.0320000000003,0.04400000000032378,3.577702522277832,3.107105016708374,7.0,1,0,0,,"(0, 7.0, 3.107105016708374, 1)",
31991,COC1=CC(O)=C2C(=O)C(OC3OCC(O)C(O)C3O)=C(OC2=C1)C1=CC(OC2OC(C)C(O)C(O)C2O)=C(O)C=C1,CCCCCCCCCCCC(=O)OC[C@H](O)COC(=O)CCCC(O)C(O)C\C=C/C\C=C/C\C=C/CCCCC,594.5220000000004,594.874,0.3519999999996344,0.7257180213928223,0.2589993476867676,31.0,4,0,0,,"(0, 31.0, 0.2589993476867676, 4)",
32135,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC)C(O)=O,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/CC(O)\C=C/CC,729.9330000000001,730.9200000000002,0.98700000000008,0.7326016426086426,0.26400041580200195,14.0,4,0,0,,"(0, 14.0, 0.26400041580200195, 4)",
