pair_id,threads_1,threads_2,threads_4,threads_8,speedup_1_to_2,speedup_1_to_4,speedup_1_to_8,change_1_to_8_sec,change_1_to_8_percent
964,10.586510181427002,4.858829975128174,4.086670398712158,3.852977514266968,2.1788188176203334,2.590497678688047,2.7476179505919314,-6.733532667160034,-63.604838155007485
7894,16.490988731384277,11.769607305526732,11.46573042869568,8.739526987075806,1.4011502935735585,1.4382850559709401,1.8869429381900753,-7.751461744308472,-47.00422679664158
11417,6.561173677444458,9.4093759059906,9.725457906723022,6.480002164840698,0.6973016853612153,0.6746390494280834,1.012526463809562,-0.08117151260375977,-1.2371492753317213
12707,4.207332134246826,3.7566592693328857,4.548034429550171,2.7781858444213867,1.1199663937033,0.9250880131668128,1.5144170944125908,-1.4291462898254395,-33.967993118310766
16244,20.735561847686768,20.87516975402832,14.147891998291016,8.890752077102661,0.9933122504877062,1.4656290739420053,2.332261845551779,-11.844809770584106,-57.12316771346853
16264,22.42015242576599,18.85830593109131,16.828659772872925,11.50559949874878,1.1888741495492625,1.3322601281598379,1.9486296588199647,-10.914552927017212,-48.68188547404272
19287,26.19309878349304,23.92053532600403,17.639517307281494,26.107341289520264,1.0950047073159983,1.4849101779378437,1.0032848038037179,-0.08575749397277477,-0.3274049194470239
24511,14.216404676437378,14.796091556549072,12.798022031784058,13.874075412750244,0.9608216211763632,1.1108282702694798,1.0246740235657459,-0.3423292636871338,-2.4079876134541864
26080,3.6005873680114746,2.9526829719543457,3.682064056396485,2.759948253631592,1.2194290420648475,0.9778720068045886,1.3045850998379243,-0.8406391143798828,-23.347277220609406
26288,33.50472974777222,18.93518352508545,18.11778712272644,25.73342275619507,1.7694430953565854,1.8492727351755243,1.3019927455902183,-7.771306991577148,-23.194656545748963
28432,10.35658836364746,12.700485944747925,11.50245213508606,8.788658142089844,0.8154481969196032,0.9003809137407006,1.1784038241342698,-1.5679302215576154,-15.139447147104825
32572,19.183804035186768,15.596813201904297,15.84486198425293,15.498969554901125,1.2299822910519,1.2107271148371108,1.2377470622955327,-3.6848344802856428,-19.208049005958106
33291,31.50994181632996,22.591984033584595,23.25405788421631,27.30735182762146,1.3947399117088692,1.355029817729891,1.1538995804220593,-4.2025899887085,-13.337346077010261
36524,3.169454574584961,5.150790452957153,3.950089931488037,3.00418758392334,0.6153336276309445,0.8023752951343558,1.0550122074753367,-0.1652669906616211,-5.214366913059884
39576,18.486900091171265,12.7708637714386,14.13376522064209,15.950775146484377,1.4475841589130638,1.307995414001324,1.1589969717080402,-2.536124944686888,-13.718497596566001
40648,5.124993085861206,7.130752086639404,6.74954628944397,4.671377897262573,0.7187170474575457,0.7593092729620208,1.0971052221796167,-0.4536151885986328,-8.85104001115754
40818,14.053269147872925,10.926063060760498,10.779497623443604,8.056012153625488,1.2862152698297498,1.3037035341340413,1.744444879163751,-5.9972569942474365,-42.67517352113882
41289,9.371424674987791,8.367021799087524,9.658514976501465,5.960215091705322,1.1200430571377027,0.9702759376351183,1.5723299462849523,-3.411209583282469,-36.40011739503112
42727,9.392197132110596,8.22375226020813,8.442785739898682,6.43540358543396,1.142081720719648,1.1124523849663994,1.4594573607425507,-2.9567935466766357,-31.481382951043223
46648,2.960568904876709,3.388005018234253,3.815624952316284,2.9451303482055664,0.8738384060657876,0.7759066841932377,1.0052420622674814,-0.015438556671142578,-0.5214726347261122
57775,18.951521158218384,14.09358835220337,13.301446437835692,11.400558233261108,1.3446909817864472,1.4247714522468151,1.6623327358591402,-7.550962924957275,-39.84357172132738
58609,5.682559967041016,7.313426733016968,6.611759901046753,5.763351202011108,0.7770037459166313,0.8594625413033179,0.985981899742306,0.08079123497009277,1.4217401213305954
58813,3.632152795791626,3.554315090179444,3.925818681716919,2.9713029861450195,1.021899495018674,0.9251962686680015,1.2224107782774438,-0.6608498096466064,-18.194438582327717
61417,11.622817277908323,11.55644178390503,13.026992082595823,10.085111856460571,1.0057435926424807,0.8922103586319446,1.15247281768746,-1.5377054214477521,-13.230057607207623
64113,5.215168714523315,4.127730846405029,3.046306610107422,3.5954174995422363,1.263446893361608,1.7119644809290595,1.4505043476000503,-1.619751214981079,-31.058462413121184
64586,12.357267141342165,11.013534307479858,8.62906551361084,7.98088002204895,1.1220074134557976,1.4320516076567897,1.5483589663298376,-4.376387119293215,-35.41549332256226
67093,27.65128779411316,26.939502477645878,28.63960814476013,22.89038038253784,1.0264216207057986,0.9654911357148652,1.2079872563064626,-4.760907411575321,-17.21766974118615
69765,7.162700653076172,3.6570913791656494,4.038018465042114,11.875656843185425,1.9585785287952835,1.7738157254814506,0.6031414302095066,4.712956190109253,65.79859215650978
72604,14.641256093978882,12.07704782485962,14.782267332077026,11.542748212814333,1.2123207845414878,0.9904607841997178,1.2684376219629134,-3.098507881164549,-21.162855572472292
