pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,structural_lb,skipped_by_structural_lb,raw_mces_result,error_message,result_type,is_exact,is_lower_bound
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,1.8194243907928467,0.3277468681335449,14.0,2,0,0,,,,0,"(0, 14.0, 0.3277468681335449, 2)",,lower_bound,0,1
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,2.3532700538635254,0.4191880226135254,8.0,1,0,1,1,10,,0,"(0, 8.0, 0.4191880226135254, 1, 1, 10)",,exact,1,0
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,1.7309346199035645,0.0009965896606445312,11.0,2,0,0,,,,0,"(0, 11.0, 0.0009965896606445312, 2)",,lower_bound,0,1
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,1.509458303451538,0.0009975433349609375,14.0,2,0,0,,,,0,"(0, 14.0, 0.0009975433349609375, 2)",,lower_bound,0,1
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,1.4473295211791992,0.0009331703186035156,11.0,2,0,0,,,,0,"(0, 11.0, 0.0009331703186035156, 2)",,lower_bound,0,1
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,2.0987167358398438,0.4202594757080078,15.0,2,0,0,,,,0,"(0, 15.0, 0.4202594757080078, 2)",,lower_bound,0,1
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,2.866569757461548,0.9770843982696533,11.0,2,0,0,,,,0,"(0, 11.0, 0.9770843982696533, 2)",,lower_bound,0,1
