pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,structural_lb,skipped_by_structural_lb,raw_mces_result,error_message,result_type,is_exact,is_lower_bound
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,2.381242275238037,0.41174888610839844,14.0,2,0,0,,,,0,"(0, 14.0, 0.41174888610839844, 2)",,lower_bound,0,1
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,2.586305618286133,1.4650800228118896,8.0,1,0,1,1,10,,0,"(0, 8.0, 1.4650800228118896, 1, 1, 10)",,exact,1,0
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,1.1792685985565186,0.0010235309600830078,11.0,2,0,0,,,,0,"(0, 11.0, 0.0010235309600830078, 2)",,lower_bound,0,1
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,1.7679007053375244,0.0010221004486083984,14.0,2,0,0,,,,0,"(0, 14.0, 0.0010221004486083984, 2)",,lower_bound,0,1
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,12.298906803131104,0.001032114028930664,11.0,2,0,0,,,,0,"(0, 11.0, 0.001032114028930664, 2)",,lower_bound,0,1
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,2.4212238788604736,1.317608118057251,15.0,2,0,0,,,,0,"(0, 15.0, 1.317608118057251, 2)",,lower_bound,0,1
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,1.263824701309204,0.24284768104553223,11.0,2,0,0,,,,0,"(0, 11.0, 0.24284768104553223, 2)",,lower_bound,0,1
