pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message,result_type,is_exact,is_lower_bound
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,1.2404224872589111,0.24787616729736328,14.0,2,0,0,,"(0, 14.0, 0.24787616729736328, 2)",,lower_bound,0,1
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,1.3929450511932373,0.26991963386535645,1,2,0,1,1,"(0, 1, 0.26991963386535645, 2, 1)",,lower_bound,0,1
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,0.9799690246582031,0.0019936561584472656,11.0,2,0,0,,"(0, 11.0, 0.0019936561584472656, 2)",,lower_bound,0,1
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,1.14866042137146,0.0010313987731933594,14.0,2,0,0,,"(0, 14.0, 0.0010313987731933594, 2)",,lower_bound,0,1
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,1.7309410572052002,0.0030281543731689453,11.0,2,0,0,,"(0, 11.0, 0.0030281543731689453, 2)",,lower_bound,0,1
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,1.2187387943267822,0.2274794578552246,15.0,2,0,0,,"(0, 15.0, 0.2274794578552246, 2)",,lower_bound,0,1
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,1.2438158988952637,0.2280597686767578,11.0,2,0,0,,"(0, 11.0, 0.2280597686767578, 2)",,lower_bound,0,1
