pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,60,,,,1,0,,,Exceeded 60 seconds
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,50.622570514678955,32.16443395614624,8.0,1,0,1,1,"(0, 8.0, 32.16443395614624, 1, 1)",
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,1.3543107509613037,0.0009813308715820312,11.0,2,0,0,,"(0, 11.0, 0.0009813308715820312, 2)",
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,3.87996506690979,0.0024008750915527344,14.0,2,0,0,,"(0, 14.0, 0.0024008750915527344, 2)",
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,2.7590866088867188,0.002913236618041992,11.0,2,0,0,,"(0, 11.0, 0.002913236618041992, 2)",
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,2.9122064113616943,0.3882632255554199,15.0,2,0,0,,"(0, 15.0, 0.3882632255554199, 2)",
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,1.4957540035247803,0.2979259490966797,11.0,2,0,0,,"(0, 11.0, 0.2979259490966797, 2)",
