pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,2.2230372428894043,0.290863037109375,14.0,4,0,0
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,3.485922336578369,1.3275322914123535,8.0,1,0,1
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,2.3203325271606445,0.5722699165344238,20.0,4,0,0
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,1.846893310546875,0.49834656715393066,19.0,4,0,0
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,1.9061059951782227,0.3970308303833008,18.0,4,0,0
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,1.4759650230407715,0.2905855178833008,15.0,4,0,0
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,2.580651044845581,0.5693912506103516,11.0,4,0,0
