pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_incident,d2,d_rascal
32135,[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC)C(O)=O,[H][C@@](COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)(COP(O)(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/CC(O)\C=C/CC,729.9330000000001,730.9200000000002,0.98700000000008,2.4301397800445557,0.02293562889099121,11.0,2,0,0,0,10,"(0, 11.0, 0.02293562889099121, 2, 0, 10, 11.0, None, None, None, 0.0)",,lower_bound,0,1,11.0,,,,0.0
33751,[H][C@](COC(=O)CCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC,793.3119999999998,793.3119999999998,0.0,60,,,,1,0,,,,Exceeded 60 seconds,unknown,0,0,,,,,
38430,[H][C@@](COC(=O)CCCCCCC[C@@H](O)[C@H](O)C\C=C/CCCCC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC,765.9629999999996,765.2579999999997,0.7049999999999272,3.3112642765045166,0.003987312316894531,17.0,2,0,0,0,10,"(0, 17.0, 0.003987312316894531, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17.0,,,,0.0
38725,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,779.2849999999993,779.2849999999997,4.547473508864641e-13,11.263200759887695,8.776496410369873,2.000000000000109,1,0,1,1,10,"(0, 2.000000000000109, 8.776496410369873, 1, 1, 10, 0.0, 0, 0.0, 0.0, 0)",,exact,1,0,0.0,0,0.0,0.0,0
40255,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCC,[H][C@@](O)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC(C)C,709.15,709.1939999999998,0.04399999999986903,17.948277950286865,15.796838760375977,8.99999999999999,1,0,1,1,10,"(0, 8.99999999999999, 15.796838760375977, 1, 1, 10, 5.0, 0, 0.0, 6.0, 0)",,exact,1,0,5.0,0,0.0,6.0,0
42470,CCCCC[C@@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@H]1C\C=C/CC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCCCCCC(C)C,789.040999999999,789.1729999999991,0.13200000000006185,6.965713739395142,5.145174741744995,10,2,0,1,1,10,"(0, 10, 5.145174741744995, 2, 1, 10, 9.0, 0, 0.0, 9.0, 0)",,lower_bound,0,1,9.0,0,0.0,9.0,0
43219,[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCC[C@@H](O)\C=C\C=C/C\C=C/C\C=C/CCCCC)[C@H](O)\C=C\CCCCCCCC\C=C/CCC,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC,765.0699999999997,765.2579999999995,0.1879999999997608,1.7034213542938232,0.0029859542846679688,18.0,2,0,0,0,10,"(0, 18.0, 0.0029859542846679688, 2, 0, 10, 18.0, None, None, None, 0.0)",,lower_bound,0,1,18.0,,,,0.0
44757,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,765.2579999999997,765.2579999999998,1.1368683772161603e-13,60,,,,1,0,,,,Exceeded 60 seconds,unknown,0,0,,,,,
45488,CC1(C)CCC2(CCC3(C)C(C2C1)C(=O)C=C1C2(C)C=C(C#N)C(=O)C(C)(C)C2CCC31C)C(=O)N1C=CN=C1,[H][C@](CO)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCC(C)C,541.7360000000003,540.8700000000005,0.8659999999998718,10.401787281036377,0.011310577392578125,20.5,2,0,0,0,10,"(0, 20.5, 0.011310577392578125, 2, 0, 10, 20.5, None, None, None, 0.0)",,lower_bound,0,1,20.5,,,,0.0
46707,CCC(C1CCC(C)C(O1)C(C)C(O)C(C)C(=O)C(CC)C1OC2(OC3(CCC(C)(O3)C3CCC(O)(CC)C(C)O3)C(O)C=C2)C(C)CC1C)C(O)=O,[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C,751.0110000000004,751.2309999999999,0.21999999999945885,3.6535751819610596,0.007899761199951172,19.0,2,0,0,0,10,"(0, 19.0, 0.007899761199951172, 2, 0, 10, 19.0, None, None, None, 0.0)",,lower_bound,0,1,19.0,,,,0.0
