pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message,result_type,is_exact,is_lower_bound
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,1.2017881870269775,0.22641396522521973,14.0,2,0,0,,"(0, 14.0, 0.22641396522521973, 2)",,lower_bound,0,1
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,1.2618939876556396,0.2594592571258545,1,2,0,1,1,"(0, 1, 0.2594592571258545, 2, 1)",,lower_bound,0,1
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,0.9734921455383301,0.001032114028930664,11.0,2,0,0,,"(0, 11.0, 0.001032114028930664, 2)",,lower_bound,0,1
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,0.9942502975463867,0.0010373592376708984,14.0,2,0,0,,"(0, 14.0, 0.0010373592376708984, 2)",,lower_bound,0,1
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,1.0428402423858643,0.001013040542602539,11.0,2,0,0,,"(0, 11.0, 0.001013040542602539, 2)",,lower_bound,0,1
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,1.2989227771759033,0.3325645923614502,15.0,2,0,0,,"(0, 15.0, 0.3325645923614502, 2)",,lower_bound,0,1
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,1.23707914352417,0.2279677391052246,11.0,2,0,0,,"(0, 11.0, 0.2279677391052246, 2)",,lower_bound,0,1
