pair_id,smiles1,smiles2,mass1,mass2,mass_diff,total_runtime_CBC,runtime_CBC,distance_CBC,compute_mode_CBC,skipped,solverCalled_CBC,distance_HiGHS,runtime_HiGHS,total_runtime_HiGHS,solverCalled_HiGHS,compute_mode_HiGHS,error_HiGHS,same_distance,runtime_difference,speedup_CBC_over_HiGHS,faster_solver
964,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCC[C@H](O)[C@@H](O)C\C=C/CCCCC,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)[C@@H](O)CC1=O,819.1549999999996,819.0259999999998,0.1289999999997917,50.328078269958496,48.86098837852478,10.0,2.0,0,1,10.0,8.469992399215698,10.132673263549805,1,2.0,,True,40.39099597930908,5.768716909716376,HiGHS
11417,[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,807.3389999999993,807.3389999999995,2.273736754432321e-13,48.258923292160034,46.492873191833496,4.0,1.0,0,1,3.999999999999807,7.207481861114502,8.120175838470459,1,1.0,,True,39.285391330718994,6.450640332883785,HiGHS
12707,[H][C@@](COC(=O)CCCCCCCC1OC1C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCC(O)\C=C/C=C\C\C=C/C\C=C/C\C=C/C\C=C/CC,824.1339999999996,825.0740000000003,0.9400000000007368,21.45416593551636,19.6802875995636,10.0,2.0,0,1,10.0,3.085465431213379,4.038634777069092,1,2.0,,True,16.59482216835022,6.378385380848101,HiGHS
26080,[H][C@@](COC(=O)CCC\C=C\C\C=C/C[C@H](O)\C=C/C=C\CCCCC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)(COP(O)(O)=O)OC(=O)CCC\C=C/[C@@H](O)\C=C\C=C/C\C=C/C=C/[C@@H](O)C\C=C/CC,822.0299999999997,823.1020000000001,1.0720000000003438,50.69433069229126,44.080689907073975,10.0,2.0,0,1,10.0,3.010039806365967,3.9548661708831783,1,2.0,,True,41.07065010070801,14.644553807510198,HiGHS
26288,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC,821.3659999999995,821.3659999999995,0.0,50.4397337436676,44.819470167160034,6.0,1.0,0,1,6.000000000000227,15.312854528427124,16.244364738464355,1,1.0,,True,29.50661563873291,2.926918040261936,HiGHS
28432,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC(C)C,807.3389999999995,807.3389999999995,0.0,45.64313554763794,44.1371009349823,6.0,1.0,0,1,5.99999999999985,8.188000202178955,9.11220908164978,1,1.0,,True,35.949100732803345,5.390461632284367,HiGHS
36524,[H][C@@](COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CC[C@H](O)CC,[H][C@@](COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/C(=O)CCCCC,846.1399999999999,846.1399999999998,1.1368683772161605e-13,8.70227599143982,7.648356199264526,6.0,1.0,0,1,5.9999999999999005,3.496901273727417,4.483994007110596,1,1.0,,True,4.151454925537109,2.1871810498990696,HiGHS
40648,[H][C@](O)(COP(O)(O)=O)COP(O)(=O)OC[C@@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/[C@@H](O)CCCC)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,[H][C@](O)(COP(O)(O)=O)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/CC1OC1C\C=C/CC,919.0799999999992,919.0799999999998,5.684341886080801e-13,18.757394552230835,17.768072366714478,10.0,2.0,0,1,10.0,5.118717908859253,6.023096084594727,1,2.0,,True,12.649354457855225,3.4711958508130083,HiGHS
40818,[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCC(C)C,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C,905.5279999999992,905.5279999999992,1.1368683772161605e-13,25.91179585456848,24.797027826309204,2.0,1.0,0,1,2.0000000000000657,7.739701747894287,8.651335716247559,1,1.0,,True,17.057326078414917,3.2038738227937067,HiGHS
41289,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,877.4739999999993,877.4739999999993,0.0,53.90993762016296,52.64949107170105,4.0,1.0,0,1,4.000000000000086,6.46260929107666,7.377080678939819,1,1.0,,True,46.18688178062439,8.146785408240227,HiGHS
